期间,项目编号,员工编号,核算工时,内部标准小时费率,标准分摊成本
2026-08,P2601,E1002,80,230,18400
2026-08,P2601,E1003,96,280,26880
2026-08,P2601,E1004,96,280,26880
2026-08,P2601,E1010,80,230,18400
2026-08,P2601,E1012,80,230,18400
2026-08,P2602,E1005,80,260,20800
2026-08,P2602,E1009,112,260,29120
2026-08,P2602,E1006,64,280,17920
2026-08,P2603,E1001,96,280,26880
2026-08,P2603,E1003,64,280,17920
2026-08,P2603,E1004,64,280,17920
2026-08,P2603,E1010,80,230,18400
2026-08,P2604,E1011,80,240,19200
2026-08,P2604,E1006,64,280,17920
2026-08,P2604,E1012,48,230,11040
2026-08,P26I1,E1008,80,240,19200
2026-08,P26I1,E1007,48,240,11520
2026-08,P26I1,E1002,48,230,11040
