资产编号,员工编号,门禁标识,工作城市,工位编号,状态
SIM-LAP-E1001,E1001,BDG-7100,杭州,4F-W10,在用
SIM-LAP-E1002,E1002,BDG-7101,长沙,4F-W11,在用
SIM-LAP-E1003,E1003,BDG-7102,长沙,4F-W12,在用
SIM-LAP-E1004,E1004,BDG-7103,成都,4F-W13,在用
SIM-LAP-E1005,E1005,BDG-7104,杭州,4F-W14,在用
SIM-LAP-E1006,E1006,BDG-7105,南京,4F-W15,在用
SIM-LAP-E1007,E1007,BDG-7106,杭州,4F-W16,在用
SIM-LAP-E1008,E1008,BDG-7107,成都,4F-W17,在用
SIM-LAP-E1009,E1009,BDG-7108,北京,4F-W18,在用
SIM-LAP-E1010,E1010,BDG-7109,杭州,4F-W19,在用
SIM-LAP-E1011,E1011,BDG-7110,南京,4F-W20,在用
SIM-LAP-E1012,E1012,BDG-7111,长沙,4F-W21,在用
